"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"146","plane","4","moving-only","10","10","[[3 -19 7] [2 2 -6] [1 3 5] [0 -9 5]]","[[3 212] [2 659] [1 506] [0 304]]","[[3 10] [2 10] [1 10] [0 10]]"
"150","plane","4","moving-only","10","10","[[1 -3 -7] [0 7 1] [2 -7 11] [3 5 -9]]","[[1 436] [0 450] [2 474] [3 321]]","[[1 10] [0 10] [2 10] [3 10]]"
"151","plane","4","moving-only","10","10","[[0 -3 3] [1 9 10] [3 -5 11] [2 7 2]]","[[0 565] [1 277] [3 337] [2 502]]","[[0 10] [1 10] [3 10] [2 10]]"
"154","plane","4","moving-only","10","10","[[0 1 -14] [3 8 -11] [1 -7 6] [2 4 -4]]","[[0 320] [3 256] [1 686] [2 419]]","[[0 10] [3 10] [1 10] [2 10]]"
"156","plane","4","moving-only","10","10","[[2 -4 -8] [1 3 8] [0 -2 -9] [3 -2 8]]","[[2 359] [1 479] [0 431] [3 412]]","[[2 10] [1 10] [0 10] [3 10]]"
"152","plane","4","moving-only","10","10","[[3 9 8] [2 4 -4] [0 -1 -11] [1 -1 -14]]","[[3 647] [2 442] [0 300] [1 292]]","[[3 10] [2 10] [0 10] [1 10]]"
"155","plane","4","moving-only","10","10","[[3 4 -8] [1 -12 -4] [0 9 -6] [2 2 8]]","[[3 263] [1 486] [0 333] [2 599]]","[[3 10] [1 10] [0 10] [2 10]]"
"157","plane","4","moving-only","10","10","[[1 11 4] [3 -9 -14] [0 11 4] [2 -2 5]]","[[1 291] [3 483] [0 303] [2 604]]","[[1 10] [3 10] [0 10] [2 10]]"
"153","plane","4","moving-only","10","10","[[0 0 -8] [2 -12 3] [3 3 10] [1 11 0]]","[[0 480] [2 445] [3 388] [1 368]]","[[0 10] [2 10] [3 10] [1 10]]"
"158","plane","4","moving-only","10","10","[[3 -4 -10] [0 -9 4] [2 4 -5] [1 -8 8]]","[[3 372] [0 214] [2 648] [1 447]]","[[3 10] [0 10] [2 10] [1 10]]"
"161","plane","4","pricing-only","10","10","[[3 19 6] [1 15 -4] [2 -2 1] [0 -18 19]]","[[3 268] [1 388] [2 784] [0 241]]","[[3 14] [1 14] [2 15] [0 14]]"
"159","plane","4","moving-only","10","10","[[1 -2 -1] [3 10 2] [0 8 -20] [2 6 14]]","[[1 699] [3 301] [0 291] [2 390]]","[[1 10] [3 10] [0 10] [2 10]]"
"162","plane","4","pricing-only","10","10","[[2 14 -13] [3 4 7] [1 -9 18] [0 -8 -20]]","[[2 336] [3 630] [1 369] [0 346]]","[[2 17] [3 16] [1 15] [0 18]]"
"163","plane","4","pricing-only","10","10","[[3 5 -8] [1 4 5] [0 3 -3] [2 -16 14]]","[[3 444] [1 405] [0 602] [2 230]]","[[3 5] [1 8] [0 4] [2 12]]"
"164","plane","4","pricing-only","10","10","[[1 -8 -12] [2 11 3] [3 17 -16] [0 10 -8]]","[[1 478] [2 650] [3 93] [0 460]]","[[1 13] [2 10] [3 8] [0 6]]"
"165","plane","4","pricing-only","10","10","[[2 9 10] [0 -6 -8] [3 3 10] [1 14 19]]","[[2 543] [0 528] [3 501] [1 109]]","[[2 8] [0 17] [3 10] [1 8]]"
